Date,Start,Sunrise,Zuhr,Asr,Magrib,Isha,Fajr2,Zuhr2,Asr2,Magrib2,Isha2,Month,Year,HijriDay,Cmonth,Cyear
1,05:03,06:53,12:18,03:52,05:45,07:37,06:00,01:00,04:03,05:45,08:00,Rajab,1441,6,May,2020
2,05:02,06:51,12:18,03:54,05:46,07:38,06:00,01:00,04:03,05:46,08:00,Rajab,1441,7,May,2020
3,05:00,06:49,12:18,03:55,05:48,07:04,06:00,01:00,04:03,05:48,08:00,Rajab,1441,8,May,2020
4,04:57,06:47,12:18,03:57,05:05,07:42,06:00,01:00,04:03,05:05,08:00,Rajab,1441,9,May,2020
5,04:54,06:44,12:17,03:58,05:52,07:43,06:00,01:00,04:03,05:52,08:00,Rajab,1441,10,May,2020
6,04:51,06:41,12:17,04:00,05:54,07:44,06:00,01:00,04:03,05:54,08:00,Rajab,1441,11,May,2020
7,04:47,06:39,12:17,04:02,05:55,07:46,05:45,01:00,04:03,05:55,08:00,Rajab,1441,12,May,2020
8,04:44,06:37,12:17,04:03,05:57,07:47,05:45,01:00,04:03,05:57,08:00,Rajab,1441,13,May,2020
9,04:42,06:35,12:16,04:05,05:59,07:48,05:45,01:00,04:03,05:59,08:00,Rajab,1441,14,May,2020
10,20:01,06:32,12:16,04:06,06:01,07:49,05:45,01:00,04:03,06:01,08:00,Rajab,1441,15,May,2020
11,20:43,19:52,20:11,19:54,19:55,19:56,05:45,01:00,04:03,06:04,08:00,Rajab,1441,16,May,2020
12,18:04,06:28,12:16,04:09,06:05,07:51,05:45,01:00,04:03,06:05,08:00,Rajab,1441,17,May,2020
13,04:56,06:25,12:16,04:11,06:07,07:52,05:45,01:00,04:03,06:07,08:00,Rajab,1441,18,May,2020
14,04:29,06:23,12:15,04:12,06:08,07:53,05:03,01:00,04:03,06:08,08:15,Rajab,1441,19,May,2020
15,04:27,06:21,12:15,04:13,06:01,07:54,05:03,01:00,04:03,06:01,08:15,Rajab,1441,20,May,2020
16,04:24,06:18,12:15,04:15,06:12,07:56,05:03,01:00,04:03,06:12,08:15,Rajab,1441,21,May,2020
17,04:22,06:16,12:14,04:16,06:14,07:58,05:03,01:00,04:03,06:14,08:15,Rajab,1441,22,May,2020
18,04:19,06:14,12:14,04:18,06:16,08:00,05:03,01:00,04:03,06:16,08:15,Rajab,1441,23,May,2020
19,04:16,06:11,12:14,04:19,06:17,08:01,05:03,01:00,04:03,06:17,08:15,Rajab,1441,24,May,2020
20,04:14,06:09,12:14,04:21,06:19,08:03,05:03,01:00,05:00,06:19,08:15,Rajab,1441,25,May,2020
21,04:11,06:07,12:13,04:22,06:21,08:05,05:00,01:00,04:45,06:21,08:03,Rajab,1441,26,May,2020
22,04:08,06:04,12:13,04:23,06:23,08:06,05:00,01:00,04:45,06:23,08:03,Rajab,1441,27,May,2020
23,04:06,06:02,12:13,04:25,06:24,08:08,05:00,01:00,04:45,06:24,08:03,Rajab,1441,28,May,2020
24,04:03,06:00,12:13,04:26,06:26,08:01,05:00,01:00,04:45,06:26,08:03,Rajab,1441,29,May,2020
25,04:00,05:57,12:12,04:27,06:28,08:12,05:00,01:00,04:45,06:28,08:03,Shaban,1441,30,May,2020
26,03:58,05:55,12:12,04:29,06:03,08:13,05:00,01:00,04:45,06:03,08:03,Shaban,1441,1,May,2020
27,03:56,05:53,12:12,04:03,06:31,08:15,05:00,01:00,04:45,06:31,08:03,Shaban,1441,2,May,2020
28,03:53,05:05,12:12,04:31,06:33,08:17,05:00,01:00,04:45,06:33,08:03,Shaban,1441,3,May,2020
29,04:51,06:58,01:11,05:33,07:34,09:19,06:00,01:03,06:03,07:34,09:45,Shaban,1441,4,May,2020
30,04:49,06:46,01:11,05:34,07:36,09:21,06:00,01:03,06:03,07:36,09:45,Shaban,1441,5,May,2020
31,04:47,06:44,01:11,05:35,07:38,09:23,06:00,01:30,06:03,07:38,09:45,Shaban,1441,6,May,2020
